ANIO,DOMINIO_G,COD_IDIOMA,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,SEXO
2011,4,4,2,26,6,10,121016,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Educación Secundaria,Mujer
2011,4,4,2,23,6,9,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Turismo y Administración,Mujer
2011,4,4,1,19,6,9,531016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Hombre
2011,4,4,1,26,6,10,521046,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Industrial,Hombre
2011,4,4,2,20,6,9,342056,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Contabilidad,Mujer
2011,4,4,1,26,6,10,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Turismo y Administración,Hombre
2011,4,4,1,23,6,9,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Turismo y Administración,Hombre
2011,4,4,1,64,2,11,331036,Sierra Norte,Casado,Castellano,Maestria/doctorado,Administración de Empresas,Hombre
2011,4,4,2,50,5,11,121016,Sierra Norte,Separado,Castellano,Maestria/doctorado,Educación Secundaria,Mujer
2011,4,4,2,21,6,10,331026,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Administración de Banca y Finanzas,Mujer
2011,4,4,1,78,2,10,531016,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Ingeniería Civil,Hombre
2011,4,4,1,36,6,10,521046,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Industrial,Hombre
2011,4,4,2,32,6,10,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Turismo y Administración,Mujer
2011,4,4,1,67,2,10,199996,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Otras Carreras de Educación,Hombre
2011,4,4,2,23,6,9,351016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Derecho,Mujer
