ANIO,DOMINIO_G,COD_IDIOMA,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,SEXO
2010,4,4,1,18,6,9,523026,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agroindustrial,Hombre
2010,4,4,1,51,2,10,199996,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Otras Carreras de Educación,Hombre
2010,4,4,2,44,2,10,199996,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Otras Carreras de Educación,Mujer
2010,4,4,1,21,6,9,351016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Derecho,Hombre
2010,4,4,2,22,6,9,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Turismo y Administración,Mujer
2010,4,4,1,22,1,9,332326,Sierra Norte,Conviviente,Castellano,Superior Universitaria Incompleta,Turismo y Administración,Hombre
2010,4,4,1,31,6,10,523026,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Agroindustrial,Hombre
2010,4,4,1,50,1,10,112016,Sierra Norte,Conviviente,Castellano,Superior Universitaria Completa,Educación Primaria,Hombre
2010,4,4,1,39,2,9,331036,Sierra Norte,Casado,Castellano,Superior Universitaria Incompleta,Administración de Empresas,Hombre
2010,4,4,2,42,5,10,331146,Sierra Norte,Separado,Castellano,Superior Universitaria Completa,Ciencias Administrativas   1/,Mujer
2010,4,4,2,55,2,10,714016,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2010,4,4,2,28,6,11,351016,Sierra Norte,Soltero,Castellano,Maestria/doctorado,Derecho,Mujer
2010,4,4,1,30,6,9,533026,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Arquitectura,Hombre
2010,4,4,1,24,6,9,531016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Hombre
2010,4,4,1,42,2,10,112016,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Hombre
2010,4,4,2,45,2,11,711026,Sierra Norte,Casado,Castellano,Maestria/doctorado,Medicina Humana,Mujer
2010,4,4,1,41,2,10,121016,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Educación Secundaria,Hombre
2010,4,4,2,40,2,10,121016,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Educación Secundaria,Mujer
2010,4,4,2,21,6,9,714016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Mujer
2010,4,4,1,40,2,10,351016,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Derecho,Hombre
2010,4,4,2,37,2,9,313016,Sierra Norte,Casado,Castellano,Superior Universitaria Incompleta,Psicología,Mujer
2010,4,4,1,21,6,9,523026,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agroindustrial,Hombre
2010,4,4,2,17,6,9,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Turismo y Administración,Mujer
2010,4,4,2,32,5,10,717016,Sierra Norte,Separado,Castellano,Superior Universitaria Completa,Obstetricia,Mujer
2010,4,4,1,26,6,9,342046,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ciencias Contables y Financieras,Hombre
2010,4,4,1,24,6,9,531016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Hombre
2010,4,4,1,43,2,9,351016,Sierra Norte,Casado,Castellano,Superior Universitaria Incompleta,Derecho,Hombre
2010,4,4,2,18,6,9,713016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Estomatología,Mujer
2010,4,4,2,30,6,10,121016,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Educación Secundaria,Mujer
2010,4,4,2,19,6,9,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Turismo y Administración,Mujer
2010,4,4,2,43,6,10,112016,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2010,4,4,2,22,6,10,112016,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2010,4,4,2,18,6,9,342056,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Contabilidad,Mujer
2010,4,4,1,28,6,9,527056,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Metalúrgica    1/,Hombre
2010,4,4,2,27,5,9,121016,Sierra Norte,Separado,Castellano,Superior Universitaria Incompleta,Educación Secundaria,Mujer
2010,4,4,2,26,5,9,111026,Sierra Norte,Separado,Castellano,Superior Universitaria Incompleta,Educación Inicial,Mujer
2010,4,4,2,28,2,9,111026,Sierra Norte,Casado,Castellano,Superior Universitaria Incompleta,Educación Inicial,Mujer
2010,4,4,1,38,1,10,412016,Sierra Norte,Conviviente,Castellano,Superior Universitaria Completa,Ingeniería Zootecnia   1/,Hombre
2010,4,4,2,33,1,10,331016,Sierra Norte,Conviviente,Castellano,Superior Universitaria Completa,Administración,Mujer
2010,4,4,1,43,1,10,321026,Sierra Norte,Conviviente,Castellano,Superior Universitaria Completa,Ciencias de la Comunicación,Hombre
2010,4,4,2,49,2,11,411016,Sierra Norte,Casado,Castellano,Maestria/doctorado,Biología,Mujer
2010,4,4,1,19,6,9,313016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Psicología,Hombre
2010,4,4,1,27,5,10,523026,Sierra Norte,Separado,Castellano,Superior Universitaria Completa,Ingeniería Agroindustrial,Hombre
2010,4,4,2,41,2,11,112016,Sierra Norte,Casado,Castellano,Maestria/doctorado,Educación Primaria,Mujer
2010,4,4,1,18,6,9,331036,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Administración de Empresas,Hombre
2010,4,4,1,32,6,9,713026,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Odontología,Hombre
2010,4,4,2,17,6,9,511026,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería de Sistemas,Mujer
2010,4,4,2,52,2,11,112016,Sierra Norte,Casado,Castellano,Maestria/doctorado,Educación Primaria,Mujer
2010,4,4,1,24,6,10,331036,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Administración de Empresas,Hombre
