ANIO,DOMINIO_G,COD_IDIOMA,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,SEXO
2012,4,4,1,41,2,10,121016,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Educación Secundaria,Hombre
2012,4,4,2,24,6,9,112016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Educación Primaria,Mujer
2012,7,4,2,32,1,10,711016,Selva,Conviviente,Castellano,Superior Universitaria Completa,Medicina,Mujer
2012,7,4,2,42,6,10,121016,Selva,Soltero,Castellano,Superior Universitaria Completa,Educación Secundaria,Mujer
2012,7,4,1,25,1,9,214016,Selva,Conviviente,Castellano,Superior Universitaria Incompleta,Idiomas,Hombre
2012,7,4,2,19,1,9,521046,Selva,Conviviente,Castellano,Superior Universitaria Incompleta,Ingeniería Industrial,Mujer
2012,7,4,2,26,6,10,351016,Selva,Soltero,Castellano,Superior Universitaria Completa,Derecho,Mujer
2012,7,4,2,40,1,11,112016,Selva,Conviviente,Castellano,Maestria/doctorado,Educación Primaria,Mujer
2012,7,4,1,33,1,10,121016,Selva,Conviviente,Castellano,Superior Universitaria Completa,Educación Secundaria,Hombre
2012,7,4,1,28,6,10,511156,Selva,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Informática,Hombre
2012,7,4,1,25,6,10,611076,Selva,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Agrícola,Hombre
2012,7,4,2,23,6,9,341026,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Economía,Mujer
2012,7,4,1,26,6,9,527056,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Metalúrgica    1/,Hombre
2012,5,1,1,24,6,9,531016,Sierra Centro,Soltero,Quechua,Superior Universitaria Incompleta,Ingeniería Civil,Hombre
2012,5,4,1,51,2,10,591026,Sierra Centro,Casado,Castellano,Superior Universitaria Completa,Ingeniería Pesquera,Hombre
2012,5,4,2,48,2,10,714016,Sierra Centro,Casado,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2012,5,4,2,45,6,11,121016,Sierra Centro,Soltero,Castellano,Maestria/doctorado,Educación Secundaria,Mujer
2012,2,4,1,43,2,10,351016,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Derecho,Hombre
2012,2,4,1,25,6,9,331016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Administración,Hombre
2012,2,4,2,22,6,9,342056,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Contabilidad,Mujer
2012,2,4,2,20,6,9,313016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Psicología,Mujer
2012,2,4,2,28,6,10,714016,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2012,2,4,2,50,5,10,121016,Costa Centro,Separado,Castellano,Superior Universitaria Completa,Educación Secundaria,Mujer
2012,2,4,1,17,6,9,342056,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Contabilidad,Hombre
2012,5,4,2,23,6,10,331016,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Administración,Mujer
2012,5,4,1,21,6,9,331016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Administración,Hombre
2012,6,4,2,35,6,10,112016,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2012,6,4,1,25,6,9,131056,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Educación Física y Deportes,Hombre
2012,6,4,2,18,6,9,331036,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Administración de Empresas,Mujer
2012,6,4,1,24,6,9,621016,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Medicina Veterinaria,Hombre
2012,6,4,2,22,6,9,511056,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería de Sistemas e Informática   1/,Mujer
