ANIO,NOM_DOMINIO_G,NOM_IDIOMA,SEXO,EDAD,NOM_ESTADO_CIVIL,NOM_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS
2014,selva,castellano,2,19,6.0,superior universitaria incompleta,523026,260000072,Ingeniería Agroindustrial,Universidad Particular Señor de Sipán S.A.C.
2014,selva,castellano,1,27,6.0,superior universitaria incompleta,611116,260000137,Ingeniería Agronómica,Universidad de la Amazonía Mario Peláez Bazán
2014,selva,castellano,1,23,6.0,superior universitaria incompleta,714016,260000137,Enfermería,Universidad de la Amazonía Mario Peláez Bazán
2014,selva,castellano,1,20,6.0,superior universitaria incompleta,999999,260000137,,Universidad de la Amazonía Mario Peláez Bazán
2014,selva,castellano,1,20,6.0,superior universitaria incompleta,525016,160000027,Ingeniería Electrónica,Universidad Nacional del Callao
2014,selva,castellano,1,20,6.0,superior universitaria incompleta,527046,160000006,Ingeniería de Petróleo y Gas Natural,Universidad Nacional de Ingeniería
2014,selva,otra lengua nativa,1,42,1.0,superior universitaria incompleta,112016,160000076,Educación Primaria,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,sierra centro,castellano,1,23,6.0,superior universitaria incompleta,11026,181000001,Ciencias Militares (Ejército),Escuela Militar del Perú “Coronel Francisco Bolognesi”
2014,sierra centro,castellano,1,41,2.0,superior universitaria completa,121016,150412189,Educación Secundaria,Instituto Superior Pedagógico Huaraz
2014,sierra centro,quechua,1,18,6.0,superior universitaria incompleta,521046,160000033,Ingeniería Industrial,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,37,6.0,superior universitaria completa,351016,260000053,Derecho,Universidad Católica Los Ángeles de Chimbote
2014,sierra centro,castellano,1,27,6.0,superior universitaria completa,713026,260000053,Odontología,Universidad Católica Los Ángeles de Chimbote
2014,sierra centro,castellano,2,31,2.0,superior universitaria completa,714016,260000053,Enfermería,Universidad Católica Los Ángeles de Chimbote
2014,sierra centro,castellano,1,29,2.0,superior universitaria incompleta,342056,260000053,Contabilidad,Universidad Católica Los Ángeles de Chimbote
2014,sierra centro,castellano,1,28,6.0,superior universitaria incompleta,331016,260000045,Administración,Universidad San Pedro
2014,sierra centro,castellano,1,28,6.0,post-grado universitario,594056,160000033,Ingeniería Ambiental,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,19,6.0,superior universitaria incompleta,351056,160000033,Derecho y Ciencias Políticas   1/,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,quechua,2,31,6.0,post-grado universitario,332276,160000033,Turismo,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,2,27,6.0,superior universitaria completa,714016,260000053,Enfermería,Universidad Católica Los Ángeles de Chimbote
2014,sierra centro,castellano,1,22,6.0,superior universitaria incompleta,511026,160000033,Ingeniería de Sistemas,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,19,6.0,superior universitaria incompleta,341026,160000033,Economía,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,2,22,6.0,superior universitaria incompleta,714016,160000033,Enfermería,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,32,6.0,superior universitaria incompleta,351016,260000045,Derecho,Universidad San Pedro
2014,sierra centro,castellano,1,22,6.0,superior universitaria incompleta,331016,160000033,Administración,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,19,6.0,superior universitaria incompleta,-1,-1,,
2014,sierra centro,quechua,2,33,2.0,post-grado universitario,-1,-1,,
2014,sierra centro,castellano,2,45,6.0,post-grado universitario,112016,150412189,Educación Primaria,Instituto Superior Pedagógico Huaraz
2014,sierra centro,quechua,1,37,6.0,post-grado universitario,341026,160000033,Economía,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,2,34,6.0,superior universitaria completa,342056,260000053,Contabilidad,Universidad Católica Los Ángeles de Chimbote
2014,sierra centro,castellano,1,31,6.0,superior universitaria completa,522016,160000033,Industrias Alimentarias,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,25,6.0,superior universitaria incompleta,531016,160000033,Ingeniería Civil,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,21,6.0,superior universitaria incompleta,532016,160000033,Ingeniería Sanitaria,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,2,48,5.0,superior universitaria completa,112016,160000033,Educación Primaria,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,26,6.0,superior universitaria incompleta,611076,160000033,Ingeniería Agrícola,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,2,22,6.0,superior universitaria incompleta,313016,260000046,Psicología,Universidad P. Antenor Orrego
2014,sierra centro,castellano,2,21,6.0,superior universitaria incompleta,331016,160000033,Administración,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,2,18,6.0,superior universitaria incompleta,313016,260000038,Psicología,Universidad Peruana Unión
2014,sierra centro,castellano,2,44,1.0,superior universitaria completa,112016,160000033,Educación Primaria,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,2,20,6.0,superior universitaria incompleta,331016,160000033,Administración,Universidad Nacional Santiago Antúnez de Mayolo
2014,costa centro,castellano,2,65,2.0,superior universitaria completa,351016,260000053,Derecho,Universidad Católica Los Ángeles de Chimbote
2014,costa centro,castellano,2,35,6.0,superior universitaria completa,351016,260000053,Derecho,Universidad Católica Los Ángeles de Chimbote
2014,costa centro,castellano,1,21,6.0,superior universitaria incompleta,526036,160000042,Ingeniería Mecánica,Universidad Nacional del Santa
2014,costa centro,castellano,2,17,6.0,superior universitaria incompleta,533026,260000052,Arquitectura,Universidad Particular César Vallejo
2014,costa centro,castellano,1,40,2.0,superior universitaria incompleta,511026,260000053,Ingeniería de Sistemas,Universidad Católica Los Ángeles de Chimbote
2014,costa centro,castellano,1,30,1.0,superior universitaria completa,321026,260000046,Ciencias de la Comunicación,Universidad P. Antenor Orrego
2014,costa centro,castellano,2,30,1.0,superior universitaria completa,111026,160000042,Educación Inicial,Universidad Nacional del Santa
2014,costa centro,castellano,2,38,5.0,superior universitaria incompleta,313016,260000053,Psicología,Universidad Católica Los Ángeles de Chimbote
2014,costa centro,castellano,1,29,1.0,superior universitaria incompleta,521046,260000045,Ingeniería Industrial,Universidad San Pedro
2014,costa centro,castellano,1,57,1.0,superior universitaria incompleta,351016,260000053,Derecho,Universidad Católica Los Ángeles de Chimbote
2014,costa centro,castellano,2,42,6.0,superior universitaria completa,717016,260000045,Obstetricia,Universidad San Pedro
2014,costa centro,castellano,1,58,2.0,superior universitaria completa,112016,160000042,Educación Primaria,Universidad Nacional del Santa
2014,costa centro,castellano,2,60,2.0,superior universitaria completa,312036,260000019,Trabajo Social,Universidad de San Martín de Porres
2014,costa centro,castellano,2,24,6.0,superior universitaria incompleta,342056,150686618,Contabilidad,Instituto Superior Pedagógico Chimbote
2014,costa centro,castellano,1,20,6.0,superior universitaria incompleta,531016,260000045,Ingeniería Civil,Universidad San Pedro
2014,costa centro,castellano,2,22,6.0,superior universitaria incompleta,331036,150686618,Administración de Empresas,Instituto Superior Pedagógico Chimbote
2014,costa centro,castellano,2,22,6.0,superior universitaria incompleta,331036,260000052,Administración de Empresas,Universidad Particular César Vallejo
2014,costa centro,castellano,1,28,6.0,superior universitaria incompleta,331036,260000052,Administración de Empresas,Universidad Particular César Vallejo
2014,costa centro,castellano,1,26,6.0,superior universitaria completa,321026,260000052,Ciencias de la Comunicación,Universidad Particular César Vallejo
2014,costa centro,castellano,2,22,6.0,superior universitaria completa,313016,260000052,Psicología,Universidad Particular César Vallejo
2014,costa centro,castellano,2,17,6.0,superior universitaria incompleta,111026,260000037,Educación Inicial,Universidad Peruana Los Andes
2014,costa centro,castellano,2,30,6.0,superior universitaria completa,714016,260000045,Enfermería,Universidad San Pedro
2014,costa centro,castellano,2,53,5.0,superior universitaria completa,121016,260000053,Educación Secundaria,Universidad Católica Los Ángeles de Chimbote
2014,costa centro,castellano,2,52,5.0,superior universitaria completa,112016,260000045,Educación Primaria,Universidad San Pedro
2014,costa centro,castellano,1,28,6.0,superior universitaria completa,342056,260000053,Contabilidad,Universidad Católica Los Ángeles de Chimbote
2014,costa centro,castellano,2,36,6.0,superior universitaria completa,342056,260000045,Contabilidad,Universidad San Pedro
2014,costa centro,castellano,2,43,6.0,post-grado universitario,717016,260000045,Obstetricia,Universidad San Pedro
2014,costa centro,castellano,1,31,6.0,superior universitaria completa,713026,260000053,Odontología,Universidad Católica Los Ángeles de Chimbote
2014,costa centro,castellano,1,23,6.0,superior universitaria incompleta,313016,260000052,Psicología,Universidad Particular César Vallejo
2014,costa centro,castellano,2,20,6.0,superior universitaria incompleta,533026,260000052,Arquitectura,Universidad Particular César Vallejo
2014,costa centro,castellano,1,43,2.0,superior universitaria completa,121016,260000052,Educación Secundaria,Universidad Particular César Vallejo
2014,costa centro,castellano,1,21,6.0,superior universitaria incompleta,411096,160000042,Ingeniería Biotecnológica,Universidad Nacional del Santa
2014,costa centro,castellano,1,19,6.0,superior universitaria incompleta,526056,260000045,Ingeniería Mecánica Eléctrica 1/,Universidad San Pedro
2014,costa centro,castellano,1,21,6.0,superior universitaria incompleta,511026,260000052,Ingeniería de Sistemas,Universidad Particular César Vallejo
2014,costa centro,castellano,2,19,6.0,superior universitaria incompleta,411096,160000042,Ingeniería Biotecnológica,Universidad Nacional del Santa
2014,costa centro,castellano,1,41,2.0,post-grado universitario,511026,160000042,Ingeniería de Sistemas,Universidad Nacional del Santa
2014,costa centro,castellano,2,34,2.0,superior universitaria completa,111026,160000042,Educación Inicial,Universidad Nacional del Santa
2014,costa centro,castellano,1,52,6.0,superior universitaria incompleta,161086,140359729,Electrónica,Instituto de Educación Superior Tecnológica (IEST) Carlos Salazar Romero
2014,costa centro,castellano,1,40,6.0,superior universitaria incompleta,713026,260000053,Odontología,Universidad Católica Los Ángeles de Chimbote
2014,costa centro,castellano,2,25,1.0,superior universitaria incompleta,342056,260000045,Contabilidad,Universidad San Pedro
2014,costa centro,castellano,2,23,6.0,superior universitaria completa,342056,260000053,Contabilidad,Universidad Católica Los Ángeles de Chimbote
2014,costa centro,castellano,1,20,6.0,superior universitaria incompleta,524076,160000042,Ingeniería Energética,Universidad Nacional del Santa
2014,costa centro,castellano,2,18,6.0,superior universitaria incompleta,331016,260000045,Administración,Universidad San Pedro
2014,costa centro,castellano,2,20,6.0,superior universitaria incompleta,411106,160000004,Microbiología,Universidad Nacional de Trujillo
2014,costa centro,castellano,2,60,5.0,superior universitaria incompleta,112016,160000021,Educación Primaria,Universidad Nacional Federico Villarreal
2014,costa centro,quechua,2,46,2.0,superior universitaria completa,112016,260000045,Educación Primaria,Universidad San Pedro
2014,costa centro,castellano,1,66,2.0,superior universitaria completa,611016,160000031,Agronomía,Universidad Nacional Pedro Ruíz Gallo
2014,costa centro,castellano,1,39,6.0,superior universitaria incompleta,412026,160000028,Zootecnia,Universidad Nacional José Faustino Sánchez Carrión
2014,costa centro,castellano,2,24,1.0,superior universitaria incompleta,121016,160000033,Educación Secundaria,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,2,19,6.0,superior universitaria incompleta,342056,260000045,Contabilidad,Universidad San Pedro
2014,sierra centro,castellano,1,56,1.0,post-grado universitario,121016,160000025,Educación Secundaria,Universidad Nacional de Educación E.G.V.
2014,sierra centro,castellano,2,51,1.0,superior universitaria completa,121016,150412189,Educación Secundaria,Instituto Superior Pedagógico Huaraz
2014,sierra centro,castellano,1,22,6.0,superior universitaria incompleta,335026,260000046,Administración de Negocios Internacionales   1/,Universidad P. Antenor Orrego
2014,sierra centro,castellano,2,43,5.0,superior universitaria incompleta,713026,260000019,Odontología,Universidad de San Martín de Porres
2014,sierra centro,castellano,1,18,6.0,superior universitaria incompleta,331016,260000052,Administración,Universidad Particular César Vallejo
2014,sierra centro,castellano,2,22,6.0,superior universitaria incompleta,331016,160000033,Administración,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,33,6.0,superior universitaria completa,321026,160000028,Ciencias de la Comunicación,Universidad Nacional José Faustino Sánchez Carrión
2014,sierra centro,castellano,1,31,6.0,superior universitaria completa,342056,160000033,Contabilidad,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,2,30,6.0,superior universitaria incompleta,351056,260000045,Derecho y Ciencias Políticas   1/,Universidad San Pedro
2014,sierra centro,castellano,2,25,6.0,superior universitaria completa,351056,260000055,Derecho y Ciencias Políticas   1/,Universidad Particular del Norte
2014,sierra centro,castellano,1,66,2.0,superior universitaria completa,121016,160000025,Educación Secundaria,Universidad Nacional de Educación E.G.V.
2014,sierra centro,castellano,2,26,6.0,superior universitaria incompleta,342056,260000045,Contabilidad,Universidad San Pedro
2014,sierra centro,castellano,1,24,6.0,superior universitaria incompleta,511026,260000052,Ingeniería de Sistemas,Universidad Particular César Vallejo
2014,sierra centro,castellano,1,19,6.0,superior universitaria incompleta,531016,260000053,Ingeniería Civil,Universidad Católica Los Ángeles de Chimbote
2014,sierra centro,quechua,1,32,1.0,superior universitaria incompleta,112016,260000045,Educación Primaria,Universidad San Pedro
2014,sierra centro,quechua,1,52,2.0,superior universitaria incompleta,112016,260000024,Educación Primaria,Universidad Inca Garcilaso de la Vega
2014,sierra centro,quechua,1,53,2.0,post-grado universitario,531016,160000033,Ingeniería Civil,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,2,21,6.0,superior universitaria incompleta,594056,160000033,Ingeniería Ambiental,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,32,2.0,superior universitaria incompleta,531016,260000045,Ingeniería Civil,Universidad San Pedro
2014,sierra centro,castellano,2,21,6.0,superior universitaria incompleta,342056,260000053,Contabilidad,Universidad Católica Los Ángeles de Chimbote
2014,sierra centro,quechua,1,47,2.0,superior universitaria completa,121016,160000025,Educación Secundaria,Universidad Nacional de Educación E.G.V.
2014,sierra centro,castellano,1,17,6.0,superior universitaria incompleta,331016,160000028,Administración,Universidad Nacional José Faustino Sánchez Carrión
2014,sierra centro,castellano,1,21,6.0,superior universitaria incompleta,331016,160000028,Administración,Universidad Nacional José Faustino Sánchez Carrión
2014,sierra centro,castellano,2,19,6.0,superior universitaria incompleta,342056,260000045,Contabilidad,Universidad San Pedro
2014,sierra centro,castellano,2,19,6.0,superior universitaria incompleta,714016,260000045,Enfermería,Universidad San Pedro
2014,sierra centro,castellano,2,17,6.0,superior universitaria incompleta,342056,260000045,Contabilidad,Universidad San Pedro
2014,sierra centro,quechua,2,21,6.0,superior universitaria incompleta,714016,160000033,Enfermería,Universidad Nacional Santiago Antúnez de Mayolo
2014,sierra centro,castellano,1,32,6.0,superior universitaria incompleta,351016,260000045,Derecho,Universidad San Pedro
2014,sierra sur,castellano,1,37,2.0,superior universitaria incompleta,531016,260000040,Ingeniería Civil,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,1,31,1.0,superior universitaria completa,611016,260000040,Agronomía,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,29,1.0,superior universitaria incompleta,351016,260000059,Derecho,Universidad Alas Peruanas
2014,sierra sur,castellano,1,26,6.0,superior universitaria completa,342056,260000040,Contabilidad,Universidad Tecnológica de los Andes
2014,sierra sur,quechua,2,22,6.0,superior universitaria incompleta,594056,260000040,Ingeniería Ambiental,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,21,6.0,superior universitaria incompleta,351016,260000040,Derecho,Universidad Tecnológica de los Andes
2014,sierra sur,quechua,1,52,1.0,superior universitaria incompleta,351016,160000012,Derecho,Universidad Nacional del Altiplano
2014,sierra sur,quechua,1,47,2.0,superior universitaria completa,611016,260000040,Agronomía,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,34,2.0,superior universitaria completa,714016,260000040,Enfermería,Universidad Tecnológica de los Andes
2014,sierra sur,quechua,1,36,1.0,superior universitaria completa,351016,260000040,Derecho,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,29,1.0,post-grado universitario,351016,260000040,Derecho,Universidad Tecnológica de los Andes
2014,sierra sur,quechua,1,49,1.0,post-grado universitario,351016,260000037,Derecho,Universidad Peruana Los Andes
2014,sierra sur,quechua,2,49,1.0,post-grado universitario,111026,260000037,Educación Inicial,Universidad Peruana Los Andes
2014,sierra sur,castellano,1,62,6.0,superior universitaria incompleta,342056,260000037,Contabilidad,Universidad Peruana Los Andes
2014,sierra sur,quechua,1,56,1.0,superior universitaria incompleta,351056,260000037,Derecho y Ciencias Políticas   1/,Universidad Peruana Los Andes
2014,sierra sur,castellano,1,20,6.0,superior universitaria incompleta,321036,260000015,Ciencias de la Comunicación Social   2/,Universidad Católica de Santa María
2014,sierra sur,castellano,1,66,2.0,superior universitaria incompleta,611016,160000003,Agronomía,Universidad Nacional de San Antonio Abad del Cusco
2014,sierra sur,castellano,2,64,2.0,superior universitaria completa,121016,160000003,Educación Secundaria,Universidad Nacional de San Antonio Abad del Cusco
2014,sierra sur,castellano,2,36,6.0,superior universitaria completa,422036,160000003,Química,Universidad Nacional de San Antonio Abad del Cusco
2014,sierra sur,castellano,2,34,6.0,superior universitaria completa,351016,260000040,Derecho,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,1,26,6.0,superior universitaria completa,423056,160000003,Ingeniería Geológica,Universidad Nacional de San Antonio Abad del Cusco
2014,sierra sur,castellano,2,42,2.0,superior universitaria completa,112016,260000040,Educación Primaria,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,1,18,6.0,superior universitaria incompleta,531016,260000008,Ingeniería Civil,Pontificia Universidad Católica del Perú
2014,sierra sur,castellano,2,24,6.0,superior universitaria incompleta,714016,260000040,Enfermería,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,1,24,6.0,superior universitaria incompleta,351016,260000040,Derecho,Universidad Tecnológica de los Andes
2014,sierra sur,quechua,1,50,5.0,post-grado universitario,611116,160000012,Ingeniería Agronómica,Universidad Nacional del Altiplano
2014,sierra sur,castellano,1,60,1.0,superior universitaria completa,611016,160000002,Agronomía,Universidad Nacional de San Cristóbal de Huamanga
2014,sierra sur,castellano,2,20,6.0,superior universitaria incompleta,313016,260000020,Psicología,Universidad Femenina del Sagrado Corazón
2014,sierra sur,castellano,1,48,1.0,superior universitaria completa,351016,260000040,Derecho,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,42,1.0,superior universitaria completa,714016,260000040,Enfermería,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,1,22,6.0,superior universitaria incompleta,351016,260000062,Derecho,Universidad Católica San Pablo
2014,sierra sur,castellano,1,17,6.0,superior universitaria incompleta,511056,260000040,Ingeniería de Sistemas e Informática   1/,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,33,6.0,superior universitaria completa,342056,260000040,Contabilidad,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,19,6.0,superior universitaria incompleta,351016,260000040,Derecho,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,1,53,1.0,superior universitaria incompleta,331036,260000024,Administración de Empresas,Universidad Inca Garcilaso de la Vega
2014,sierra sur,castellano,2,50,1.0,superior universitaria completa,714016,260000040,Enfermería,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,28,6.0,superior universitaria incompleta,342056,260000040,Contabilidad,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,39,6.0,superior universitaria completa,714016,260000040,Enfermería,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,33,2.0,post-grado universitario,711026,999999999,Medicina Humana,
