ANIO,UBIGEO,DOMINIO_G,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_IDIOMA,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,COD_DEPARTAMENTO,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS,NOM_DEPARTAMENTO,SEXO
2018,20801,2,2,29,2,4,9,331016,260000053,2,Costa Centro,Casado,Castellano,Superior Universitaria Incompleta,Administración,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2018,20801,2,1,34,2,4,9,331016,260000053,2,Costa Centro,Casado,Castellano,Superior Universitaria Incompleta,Administración,Universidad Católica Los Ángeles de Chimbote,Ancash,Hombre
2018,20801,2,2,22,1,4,9,331016,260000052,13,Costa Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Administración,Universidad Particular César Vallejo,La Libertad,Mujer
2018,20801,2,2,28,6,4,10,342056,260000053,2,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2018,20105,5,2,32,6,4,11,121246,260000052,13,Sierra Centro,Soltero,Castellano,Maestria/doctorado,Educación Secundaria - Computación e Informática,Universidad Particular César Vallejo,La Libertad,Mujer
2018,20105,5,1,24,6,4,10,511026,260000045,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería de Sistemas,Universidad San Pedro,Ancash,Hombre
2018,20105,5,2,22,6,4,10,714016,260000053,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2018,20105,5,1,18,6,4,9,112016,160000033,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Educación Primaria,Universidad Nacional Santiago Antúnez de Mayolo,Ancash,Hombre
2018,20105,5,2,51,5,4,11,121456,260000052,13,Sierra Centro,Separado,Castellano,Maestria/doctorado,Educación Secundaria - Matemática,Universidad Particular César Vallejo,La Libertad,Mujer
2018,20101,5,2,38,6,4,10,531016,260000045,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Civil,Universidad San Pedro,Ancash,Mujer
2018,20101,5,2,38,5,4,11,331036,260000053,2,Sierra Centro,Separado,Castellano,Maestria/doctorado,Administración de Empresas,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2018,20101,5,1,36,6,4,10,511026,260000053,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería de Sistemas,Universidad Católica Los Ángeles de Chimbote,Ancash,Hombre
2018,20101,5,1,65,2,4,10,151036,170699702,2,Sierra Centro,Casado,Castellano,Superior Universitaria Completa,Educación Artística - Artes Plásticas,Educación Superior Artística - ESFA de Formacion Artistica,Ancash,Hombre
2018,20101,5,1,29,6,4,9,341026,160000033,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Economía,Universidad Nacional Santiago Antúnez de Mayolo,Ancash,Hombre
2018,20101,5,2,26,6,4,9,351056,160000033,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Derecho y Ciencias Políticas   1/,Universidad Nacional Santiago Antúnez de Mayolo,Ancash,Mujer
2018,20101,5,2,46,5,4,9,716026,260000053,2,Sierra Centro,Separado,Castellano,Superior Universitaria Incompleta,Farmacia y Bioquímica,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2018,20101,5,2,21,6,4,9,531016,260000045,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Universidad San Pedro,Ancash,Mujer
2018,20101,5,2,42,6,4,10,332336,160000033,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Turismo y Hotelería,Universidad Nacional Santiago Antúnez de Mayolo,Ancash,Mujer
2018,21201,5,2,17,6,4,9,711026,260000052,13,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Medicina Humana,Universidad Particular César Vallejo,La Libertad,Mujer
2018,22008,5,1,48,2,1,11,121256,160000033,2,Sierra Centro,Casado,Quechua,Maestria/doctorado,Educación Secundaria - Comunicación,Universidad Nacional Santiago Antúnez de Mayolo,Ancash,Hombre
2018,22008,5,2,57,2,1,9,112016,260000019,15,Sierra Centro,Casado,Quechua,Superior Universitaria Incompleta,Educación Primaria,Universidad de San Martín de Porres,Lima,Mujer
2018,22008,5,1,34,2,4,9,531016,260000045,2,Sierra Centro,Casado,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Universidad San Pedro,Ancash,Hombre
2018,30101,6,2,29,6,4,9,342056,260000040,3,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Contabilidad,Universidad Tecnológica de los Andes,Apurímac,Mujer
2018,30101,6,1,49,2,1,10,121166,260000040,3,Sierra Sur,Casado,Quechua,Superior Universitaria Completa,Educación Secundaria - Ciencias Sociales - Filosofía,Universidad Tecnológica de los Andes,Apurímac,Hombre
2018,30101,6,2,44,2,1,10,121436,260000040,3,Sierra Sur,Casado,Quechua,Superior Universitaria Completa,"Educación Secundaria - Lenguaje, Literatura e Idiomas",Universidad Tecnológica de los Andes,Apurímac,Mujer
2018,30101,6,2,22,6,4,9,531016,260000040,3,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Universidad Tecnológica de los Andes,Apurímac,Mujer
2018,30201,6,2,40,2,4,9,714016,260000040,3,Sierra Sur,Casado,Castellano,Superior Universitaria Incompleta,Enfermería,Universidad Tecnológica de los Andes,Apurímac,Mujer
2018,30201,6,2,17,6,4,9,531016,260000059,15,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Universidad Alas Peruanas,Lima,Mujer
2018,30101,6,2,47,2,1,9,714016,260000040,3,Sierra Sur,Casado,Quechua,Superior Universitaria Incompleta,Enfermería,Universidad Tecnológica de los Andes,Apurímac,Mujer
2018,30101,6,1,57,2,1,9,121066,260000040,3,Sierra Sur,Casado,Quechua,Superior Universitaria Incompleta,Educación Secundaria - Biología y Química,Universidad Tecnológica de los Andes,Apurímac,Hombre
2018,30101,6,2,17,6,4,9,111026,160000077,3,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Educación Inicial,Universidad Nacional Micaela Bastidas de Apurímac,Apurímac,Mujer
2018,30101,6,2,23,6,4,10,342056,260000040,3,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Tecnológica de los Andes,Apurímac,Mujer
2018,30101,6,1,21,6,4,9,335026,260000059,15,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Administración de Negocios Internacionales   1/,Universidad Alas Peruanas,Lima,Hombre
2018,30406,6,1,20,1,1,9,351016,260000040,3,Sierra Sur,Conviviente,Quechua,Superior Universitaria Incompleta,Derecho,Universidad Tecnológica de los Andes,Apurímac,Hombre
2018,30406,6,2,20,1,1,9,714016,260000040,3,Sierra Sur,Conviviente,Quechua,Superior Universitaria Incompleta,Enfermería,Universidad Tecnológica de los Andes,Apurímac,Mujer
2018,30406,6,2,21,6,1,9,351056,160000077,3,Sierra Sur,Soltero,Quechua,Superior Universitaria Incompleta,Derecho y Ciencias Políticas   1/,Universidad Nacional Micaela Bastidas de Apurímac,Apurímac,Mujer
2018,30406,6,2,24,6,1,9,523026,160000077,3,Sierra Sur,Soltero,Quechua,Superior Universitaria Incompleta,Ingeniería Agroindustrial,Universidad Nacional Micaela Bastidas de Apurímac,Apurímac,Mujer
2018,40104,6,2,26,6,4,10,121156,160000005,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Educación Secundaria - Ciencias Sociales,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40104,6,2,62,2,1,10,121016,260000045,2,Sierra Sur,Casado,Quechua,Superior Universitaria Completa,Educación Secundaria,Universidad San Pedro,Ancash,Mujer
2018,40104,6,1,28,6,4,10,342056,260000015,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Católica de Santa María,Arequipa,Hombre
2018,40104,6,1,64,2,1,10,591026,160000009,11,Sierra Sur,Casado,Quechua,Superior Universitaria Completa,Ingeniería Pesquera,Universidad Nacional San Luis Gonzaga,Ica,Hombre
2018,40104,6,2,25,6,4,9,341026,160000005,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Economía,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40104,6,2,22,6,4,9,411016,160000005,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Biología,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40104,6,2,19,6,4,9,591026,160000005,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Pesquera,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40104,6,2,21,6,4,9,714016,260000036,21,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Universidad Andina Néstor Cáceres Velásquez,Puno,Mujer
2018,40103,6,2,29,6,4,10,151036,170695528,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Educación Artística - Artes Plásticas,Educación Superior Artística - ESFA Carlos Baca Flor,Arequipa,Mujer
2018,40103,6,1,41,2,4,11,521046,160000005,4,Sierra Sur,Casado,Castellano,Maestria/doctorado,Ingeniería Industrial,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40103,6,2,40,2,4,10,521046,160000005,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Ingeniería Industrial,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40103,6,2,21,6,4,9,331036,260000029,20,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Administración de Empresas,Universidad de Piura,Piura,Mujer
2018,40103,6,1,72,2,4,11,611106,260000015,4,Sierra Sur,Casado,Castellano,Maestria/doctorado,Ingeniería Agrónoma,Universidad Católica de Santa María,Arequipa,Hombre
2018,40103,6,1,31,1,4,10,351016,160000005,4,Sierra Sur,Conviviente,Castellano,Superior Universitaria Completa,Derecho,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40103,6,2,38,1,4,11,331036,160000005,4,Sierra Sur,Conviviente,Castellano,Maestria/doctorado,Administración de Empresas,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40110,6,1,56,2,4,10,351016,160000005,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Derecho,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40110,6,2,50,2,4,11,121426,160000005,4,Sierra Sur,Casado,Castellano,Maestria/doctorado,Educación Secundaria - Lengua y Literatura,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40110,6,2,23,6,4,9,531016,260000062,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Universidad Católica San Pablo,Arequipa,Mujer
2018,40110,6,2,23,6,4,9,111026,260000062,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Educación Inicial,Universidad Católica San Pablo,Arequipa,Mujer
2018,40110,6,1,42,6,4,11,342056,260000015,4,Sierra Sur,Soltero,Castellano,Maestria/doctorado,Contabilidad,Universidad Católica de Santa María,Arequipa,Hombre
2018,40110,6,1,18,6,4,9,331046,260000062,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Administración de Negocios,Universidad Católica San Pablo,Arequipa,Hombre
2018,40110,6,1,59,2,4,10,342056,260000015,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Católica de Santa María,Arequipa,Hombre
2018,40110,6,2,57,2,6,10,714016,260000015,4,Sierra Sur,Casado,Portugués,Superior Universitaria Completa,Enfermería,Universidad Católica de Santa María,Arequipa,Mujer
2018,40110,6,1,18,6,4,9,351016,260000015,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Derecho,Universidad Católica de Santa María,Arequipa,Hombre
2018,40110,6,2,22,6,4,9,422036,160000005,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Química,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40112,6,1,45,6,4,10,526036,160000005,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Mecánica,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40112,6,1,40,2,4,10,525016,260000015,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Ingeniería Electrónica,Universidad Católica de Santa María,Arequipa,Hombre
2018,40112,6,2,36,2,4,10,714016,260000015,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Enfermería,Universidad Católica de Santa María,Arequipa,Mujer
2018,40112,6,1,26,6,4,10,531016,260000059,15,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Civil,Universidad Alas Peruanas,Lima,Hombre
2018,40112,6,2,34,5,4,10,521046,-1,-1,Sierra Sur,Separado,Castellano,Superior Universitaria Completa,Ingeniería Industrial,,,Mujer
2018,40112,6,2,54,5,4,10,716016,260000015,4,Sierra Sur,Separado,Castellano,Superior Universitaria Completa,Ciencias Farmacéuticas y Bioquímica,Universidad Católica de Santa María,Arequipa,Mujer
2018,40112,6,1,72,2,4,10,313016,160000005,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Psicología,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40112,6,2,69,2,4,10,312026,160000005,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Servicio Social,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40112,6,1,49,2,4,10,351016,160000005,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Derecho,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40112,6,1,64,2,4,10,621016,160000012,21,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Medicina Veterinaria,Universidad Nacional del Altiplano,Puno,Hombre
2018,40112,6,2,62,2,4,10,342056,160000012,21,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Nacional del Altiplano,Puno,Mujer
2018,40112,6,2,29,6,4,10,711016,160000005,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Medicina,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40112,6,1,42,6,4,11,351016,160000005,4,Sierra Sur,Soltero,Castellano,Maestria/doctorado,Derecho,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40112,6,2,20,6,4,9,714016,260000015,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Universidad Católica de Santa María,Arequipa,Mujer
2018,40112,6,2,40,6,6,10,351016,260000015,4,Sierra Sur,Soltero,Portugués,Superior Universitaria Completa,Derecho,Universidad Católica de Santa María,Arequipa,Mujer
2018,40112,6,2,48,2,4,11,121426,160000005,4,Sierra Sur,Casado,Castellano,Maestria/doctorado,Educación Secundaria - Lengua y Literatura,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40112,6,1,55,2,4,11,199016,260000015,4,Sierra Sur,Casado,Castellano,Maestria/doctorado,Educación 1/,Universidad Católica de Santa María,Arequipa,Hombre
2018,40112,6,2,56,5,4,10,312026,160000005,4,Sierra Sur,Separado,Castellano,Superior Universitaria Completa,Servicio Social,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40112,6,1,38,6,4,10,331036,260000059,15,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Administración de Empresas,Universidad Alas Peruanas,Lima,Hombre
2018,40112,6,2,33,6,4,10,342056,260000062,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Católica San Pablo,Arequipa,Mujer
2018,40112,6,1,30,6,4,10,521046,260000015,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Industrial,Universidad Católica de Santa María,Arequipa,Hombre
2018,40112,6,1,26,6,4,9,531016,260000015,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Universidad Católica de Santa María,Arequipa,Hombre
2018,40112,6,1,63,2,1,11,711016,160000005,4,Sierra Sur,Casado,Quechua,Maestria/doctorado,Medicina,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40112,6,2,62,2,4,10,713026,260000015,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Odontología,Universidad Católica de Santa María,Arequipa,Mujer
2018,40112,6,2,21,6,4,9,333106,260000015,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Marketing y Publicidad,Universidad Católica de Santa María,Arequipa,Mujer
2018,40112,6,1,63,2,1,10,11026,181000001,15,Sierra Sur,Casado,Quechua,Superior Universitaria Completa,Ciencias Militares (Ejército),Escuela Militar del Perú “Coronel Francisco Bolognesi”,Lima,Hombre
2018,40112,6,2,61,2,4,10,714016,260000015,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Enfermería,Universidad Católica de Santa María,Arequipa,Mujer
2018,40112,6,2,23,6,4,9,331036,260000015,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Administración de Empresas,Universidad Católica de Santa María,Arequipa,Mujer
2018,40129,6,1,28,6,4,10,531016,160000005,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Civil,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40129,6,2,18,6,4,9,594056,260000015,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Ambiental,Universidad Católica de Santa María,Arequipa,Mujer
2018,40107,6,1,55,2,4,10,121256,260000059,15,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Educación Secundaria - Comunicación,Universidad Alas Peruanas,Lima,Hombre
2018,40107,6,2,54,2,4,10,151036,160000005,4,Sierra Sur,Casado,Castellano,Superior Universitaria Completa,Educación Artística - Artes Plásticas,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40107,6,1,43,6,4,10,421026,160000005,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Física,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40107,6,1,27,6,4,9,594086,260000059,15,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería de Medio Ambiente    1/,Universidad Alas Peruanas,Lima,Hombre
2018,40107,6,1,48,5,4,11,121106,160000005,4,Sierra Sur,Separado,Castellano,Maestria/doctorado,Educación Secundaria - Ciencias Histórico Sociales,Universidad Nacional de San Agustín,Arequipa,Hombre
2018,40107,6,1,44,5,4,9,713026,260000015,4,Sierra Sur,Separado,Castellano,Superior Universitaria Incompleta,Odontología,Universidad Católica de Santa María,Arequipa,Hombre
2018,40107,6,1,46,2,4,9,621016,160000012,21,Sierra Sur,Casado,Castellano,Superior Universitaria Incompleta,Medicina Veterinaria,Universidad Nacional del Altiplano,Puno,Hombre
2018,40107,6,2,41,2,4,9,717016,260000036,21,Sierra Sur,Casado,Castellano,Superior Universitaria Incompleta,Obstetricia,Universidad Andina Néstor Cáceres Velásquez,Puno,Mujer
2018,40107,6,2,25,6,4,10,151036,170695528,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Completa,Educación Artística - Artes Plásticas,Educación Superior Artística - ESFA Carlos Baca Flor,Arequipa,Mujer
2018,40107,6,2,20,6,4,9,333016,160000005,4,Sierra Sur,Soltero,Castellano,Superior Universitaria Incompleta,Administración y Marketing,Universidad Nacional de San Agustín,Arequipa,Mujer
2018,40208,3,1,67,6,4,11,121506,160000005,4,Costa Sur,Soltero,Castellano,Maestria/doctorado,Educación Secundaria - Matemática y Física,Universidad Nacional de San Agustín,Arequipa,Hombre
