ANIO,NOM_DOMINIO_G,NOM_IDIOMA,SEXO,EDAD,NOM_ESTADO_CIVIL,NOM_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,COD_DEPARTAMENTO,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS,NOM_DEPARTAMENTO
2016,sierra norte,castellano,hombre,31,soltero(a),superior universitaria completa,523026,160000076,1,Ingeniería Agroindustrial,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2016,sierra norte,castellano,mujer,25,soltero(a),superior universitaria completa,342056,260000052,13,Contabilidad,Universidad Particular César Vallejo,La Libertad
2016,sierra norte,castellano,hombre,21,soltero(a),superior universitaria incompleta,523026,160000076,1,Ingeniería Agroindustrial,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2016,sierra norte,castellano,hombre,31,soltero(a),superior universitaria completa,332066,160000076,1,Administración en Turismo,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2016,sierra norte,castellano,hombre,28,conviviente,superior universitaria completa,332326,160000076,1,Turismo y Administración,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2016,sierra norte,castellano,mujer,21,conviviente,superior universitaria incompleta,342056,260000059,15,Contabilidad,Universidad Alas Peruanas,Lima
2016,selva,castellano,mujer,29,soltero(a),superior universitaria completa,342056,260000059,15,Contabilidad,Universidad Alas Peruanas,Lima
2016,selva,castellano,mujer,28,soltero(a),superior universitaria completa,121356,160000031,14,Educación Secundaria - Idioma Extranjero/Originario,Universidad Nacional Pedro Ruíz Gallo,Lambayeque
2016,selva,castellano,mujer,34,casado(a),post-grado universitario,112016,160000031,14,Educación Primaria,Universidad Nacional Pedro Ruíz Gallo,Lambayeque
2016,selva,castellano,mujer,19,soltero(a),superior universitaria incompleta,342036,260000083,15,Ciencias Contables,Universidad Particular Telesup S.A.C.,Lima
2016,selva,castellano,mujer,26,conviviente,superior universitaria completa,714016,260000097,15,Enfermería,Universidad de Ciencias y Humanidades,Lima
2016,sierra centro,quechua,hombre,25,soltero(a),superior universitaria incompleta,11026,181000001,15,Ciencias Militares (Ejército),Escuela Militar del Perú “Coronel Francisco Bolognesi”,Lima
2016,sierra centro,castellano,hombre,43,casado(a),superior universitaria incompleta,531016,260000045,2,Ingeniería Civil,Universidad San Pedro,Ancash
2016,sierra centro,quechua,mujer,43,casado(a),superior universitaria completa,112016,160000031,14,Educación Primaria,Universidad Nacional Pedro Ruíz Gallo,Lambayeque
2016,sierra centro,quechua,hombre,20,soltero(a),superior universitaria incompleta,521046,160000033,2,Ingeniería Industrial,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2016,sierra centro,quechua,hombre,39,soltero(a),post-grado universitario,351016,260000053,2,Derecho,Universidad Católica Los Ángeles de Chimbote,Ancash
2016,sierra centro,castellano,hombre,21,soltero(a),superior universitaria incompleta,351016,160000033,2,Derecho,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2016,sierra centro,castellano,mujer,33,soltero(a),post-grado universitario,332066,260000052,13,Administración en Turismo,Universidad Particular César Vallejo,La Libertad
2016,sierra centro,castellano,mujer,29,soltero(a),superior universitaria completa,714016,260000053,2,Enfermería,Universidad Católica Los Ángeles de Chimbote,Ancash
2016,sierra centro,castellano,hombre,21,soltero(a),superior universitaria incompleta,341026,160000033,2,Economía,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2016,sierra centro,castellano,hombre,24,soltero(a),superior universitaria incompleta,331016,160000033,2,Administración,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2016,sierra centro,castellano,mujer,36,soltero(a),superior universitaria incompleta,342056,260000053,2,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Ancash
2016,sierra centro,castellano,hombre,33,soltero(a),superior universitaria completa,522036,160000033,2,Ingeniería de Industrias Alimentarias    2/,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2016,sierra centro,castellano,hombre,23,soltero(a),superior universitaria incompleta,532016,160000033,2,Ingeniería Sanitaria,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2016,sierra centro,castellano,hombre,27,separado(a),superior universitaria incompleta,531016,160000033,2,Ingeniería Civil,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2016,sierra centro,quechua,mujer,50,viudo(a),post-grado universitario,112016,160000001,15,Educación Primaria,Universidad Nacional Mayor de San Marcos,Lima
2016,sierra centro,castellano,hombre,28,soltero(a),superior universitaria completa,611076,160000033,2,Ingeniería Agrícola,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2016,sierra centro,castellano,hombre,19,soltero(a),superior universitaria incompleta,531016,160000033,2,Ingeniería Civil,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2016,costa centro,castellano,mujer,22,soltero(a),superior universitaria incompleta,411106,160000004,13,Microbiología,Universidad Nacional de Trujillo,La Libertad
2016,costa centro,castellano,hombre,19,soltero(a),superior universitaria incompleta,531016,260000053,2,Ingeniería Civil,Universidad Católica Los Ángeles de Chimbote,Ancash
2016,costa centro,castellano,mujer,62,separado(a),superior universitaria incompleta,111026,160000021,15,Educación Inicial,Universidad Nacional Federico Villarreal,Lima
2016,costa centro,quechua,mujer,48,casado(a),post-grado universitario,112016,260000052,13,Educación Primaria,Universidad Particular César Vallejo,La Libertad
2016,sierra centro,castellano,hombre,79,casado(a),superior universitaria completa,112016,160000025,15,Educación Primaria,Universidad Nacional de Educación E.G.V.,Lima
2016,sierra centro,quechua,hombre,65,conviviente,post-grado universitario,121426,160000025,15,Educación Secundaria - Lengua y Literatura,Universidad Nacional de Educación E.G.V.,Lima
2016,sierra centro,castellano,hombre,29,conviviente,superior universitaria completa,331016,260000052,13,Administración,Universidad Particular César Vallejo,La Libertad
2016,sierra centro,castellano,mujer,45,separado(a),superior universitaria incompleta,713026,260000019,15,Odontología,Universidad de San Martín de Porres,Lima
