ANIO,UBIGEO,DOMINIO_G,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_IDIOMA,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,COD_DEPARTAMENTO,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS,NOM_DEPARTAMENTO,SEXO
2019,10101,4,2,28,6,4,10,332336,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Turismo y Hotelería,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2019,10101,4,1,17,6,4,9,321026,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ciencias de la Comunicación,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Hombre
2019,10101,4,1,55,2,4,11,341026,260000019,15,Sierra Norte,Casado,Castellano,Maestria/doctorado,Economía,Universidad de San Martín de Porres,Lima,Hombre
2019,10101,4,2,47,2,4,11,331016,260000024,15,Sierra Norte,Casado,Castellano,Maestria/doctorado,Administración,Universidad Inca Garcilaso de la Vega,Lima,Mujer
2019,10101,4,2,24,6,4,9,521046,260000018,15,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Industrial,Universidad de Lima,Lima,Mujer
2019,10101,4,2,19,6,4,9,711016,260000014,15,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Medicina,Universidad Peruana Cayetano Heredia,Lima,Mujer
2019,10101,4,1,70,2,4,11,112016,160000025,15,Sierra Norte,Casado,Castellano,Maestria/doctorado,Educación Primaria,Universidad Nacional de Educación E.G.V.,Lima,Hombre
2019,10101,4,1,50,2,4,11,336046,260000052,13,Sierra Norte,Casado,Castellano,Maestria/doctorado,Gestión Pública y Desarrollo Social,Universidad Particular César Vallejo,La Libertad,Hombre
2019,10101,4,2,57,5,4,10,112016,160000004,13,Sierra Norte,Separado,Castellano,Superior Universitaria Completa,Educación Primaria,Universidad Nacional de Trujillo,La Libertad,Mujer
2019,10101,4,1,71,2,4,10,611016,160000031,14,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Agronomía,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Hombre
2019,10101,4,2,27,6,4,10,714016,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2019,10201,7,2,53,6,4,10,351056,260000024,15,Selva,Soltero,Castellano,Superior Universitaria Completa,Derecho y Ciencias Políticas   1/,Universidad Inca Garcilaso de la Vega,Lima,Mujer
2019,10201,7,1,19,6,4,9,224036,170768630,1,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Música,Educación Superior Artística - ESFA Escuela Superior De Formacion Artistica,Amazonas,Hombre
2019,10201,7,2,21,5,4,9,111026,160000031,14,Selva,Separado,Castellano,Superior Universitaria Incompleta,Educación Inicial,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Mujer
2019,10201,7,1,68,1,4,9,321036,160000021,15,Selva,Conviviente,Castellano,Superior Universitaria Incompleta,Ciencias de la Comunicación Social   2/,Universidad Nacional Federico Villarreal,Lima,Hombre
2019,10701,7,1,21,6,4,9,531016,260000008,15,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Pontificia Universidad Católica del Perú,Lima,Hombre
2019,10501,4,2,35,1,4,10,332326,160000001,15,Sierra Norte,Conviviente,Castellano,Superior Universitaria Completa,Turismo y Administración,Universidad Nacional Mayor de San Marcos,Lima,Mujer
2019,10501,4,1,37,1,4,10,332326,160000076,1,Sierra Norte,Conviviente,Castellano,Superior Universitaria Completa,Turismo y Administración,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Hombre
2019,10203,7,1,57,2,4,9,151036,171125723,23,Selva,Casado,Castellano,Superior Universitaria Incompleta,Educación Artística - Artes Plásticas,Educación Superior Artística - ESFA Francisco Laso,Tacna,Hombre
2019,10203,7,2,59,3,4,10,121346,160000031,14,Selva,Viudo,Castellano,Superior Universitaria Completa,Educación Secundaria - Idioma Extranjero Traducción e Interpretación,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Mujer
2019,10306,4,1,25,6,4,9,151016,171125723,23,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Educación Artística,Educación Superior Artística - ESFA Francisco Laso,Tacna,Hombre
2019,10304,4,1,33,1,4,10,342056,160000034,22,Sierra Norte,Conviviente,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Nacional de San Martín,San Martín,Hombre
2019,10304,4,2,27,6,4,10,531016,260000069,14,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Civil,Universidad Católica Santo Toribio de Mogrovejo,Lambayeque,Mujer
2019,10304,4,1,19,6,4,9,533026,260000065,15,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Arquitectura,Universidad Tecnológica del Perú,Lima,Hombre
2019,10513,4,1,53,2,4,10,112016,160000031,14,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Hombre
2019,10605,7,1,18,6,4,9,11026,181000003,15,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ciencias Militares (Ejército),"Escuela de Oficiales de la Fuerza Aérea del Perú  Capitán. FAP ""José Quiñones Gonzáles""",Lima,Hombre
2019,21803,2,2,25,6,4,9,714016,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Universidad San Pedro,Ancash,Mujer
2019,21803,2,1,19,6,4,9,511026,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería de Sistemas,Universidad San Pedro,Ancash,Hombre
2019,21801,2,2,19,6,4,9,521046,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Industrial,Universidad San Pedro,Ancash,Mujer
2019,21801,2,2,23,6,4,10,342056,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Universidad San Pedro,Ancash,Mujer
2019,21801,2,1,20,6,4,9,611106,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agrónoma,Universidad San Pedro,Ancash,Hombre
2019,21801,2,1,18,6,4,9,331016,260000052,13,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Administración,Universidad Particular César Vallejo,La Libertad,Hombre
2019,21809,2,1,61,2,4,10,591026,160000027,15,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Ingeniería Pesquera,Universidad Nacional del Callao,Lima,Hombre
2019,21809,2,2,72,2,4,10,121056,160000021,15,Costa Centro,Casado,Castellano,Superior Universitaria Completa,"Educación Secundaria - Biología, Química y Tecnología de los Alimentos",Universidad Nacional Federico Villarreal,Lima,Mujer
2019,21809,2,2,41,3,4,11,342056,260000045,2,Costa Centro,Viudo,Castellano,Maestria/doctorado,Contabilidad,Universidad San Pedro,Ancash,Mujer
