ANIO,UBIGEO,DOMINIO_G,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_IDIOMA,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,COD_DEPARTAMENTO,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS,NOM_DEPARTAMENTO,SEXO
2021,10401,7,1,21,6,4,9,131016,160000025,15,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Educación Física,Universidad Nacional de Educación E.G.V.,Lima,Hombre
2021,10701,7,1,23,1,4,9,714016,260000072,14,Selva,Conviviente,Castellano,Superior Universitaria Incompleta,Enfermería,Universidad Particular Señor de Sipán S.A.C.,Lambayeque,Hombre
2021,10513,4,1,55,2,4,10,112016,160000031,14,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Hombre
2021,10513,4,1,35,1,4,9,521046,260000059,15,Sierra Norte,Conviviente,Castellano,Superior Universitaria Incompleta,Ingeniería Industrial,Universidad Alas Peruanas,Lima,Hombre
2021,21801,2,1,40,1,4,10,331016,260000045,2,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Administración,Universidad San Pedro,Ancash,Hombre
2021,21801,2,2,26,1,4,10,342056,260000053,2,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2021,21801,2,1,63,5,4,10,341026,260000024,15,Costa Centro,Separado,Castellano,Superior Universitaria Completa,Economía,Universidad Inca Garcilaso de la Vega,Lima,Hombre
2021,21801,2,2,32,6,4,10,331016,260000052,13,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Administración,Universidad Particular César Vallejo,La Libertad,Mujer
2021,21801,2,1,38,1,4,10,511026,260000045,2,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Ingeniería de Sistemas,Universidad San Pedro,Ancash,Hombre
2021,21801,2,2,34,1,4,9,313016,260000053,2,Costa Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Psicología,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
