ANIO,NOM_DOMINIO_G,NOM_IDIOMA,SEXO,EDAD,NOM_ESTADO_CIVIL,NOM_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS
2015,sierra norte,castellano,mujer,48,casado(a),sup. univ. incompleta,342056,260000059,Contabilidad,Universidad Alas Peruanas
2015,sierra norte,castellano,hombre,23,soltero(a),sup. univ. incompleta,531016,260000072,Ingeniería Civil,Universidad Particular Señor de Sipán S.A.C.
2015,sierra norte,castellano,hombre,20,soltero(a),sup. univ. incompleta,523026,160000076,Ingeniería Agroindustrial,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2015,sierra norte,castellano,hombre,30,soltero(a),sup. univ. completa,332326,160000076,Turismo y Administración,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2015,sierra norte,castellano,hombre,27, conviviente,sup. univ. incompleta,342056,260000059,Contabilidad,Universidad Alas Peruanas
2015,sierra norte,castellano,mujer,20, conviviente,sup. univ. incompleta,342056,260000059,Contabilidad,Universidad Alas Peruanas
2015,sierra norte,castellano,mujer,25,casado(a),sup. univ. incompleta,342056,260000059,Contabilidad,Universidad Alas Peruanas
2015,sierra norte,castellano,hombre,22,soltero(a),sup. univ. incompleta,21016,181000004,Administración y Ciencias Policiales (oficiales),Escuela de Oficiales de la Policía Nacional del Perú
2015,sierra norte,castellano,hombre,50,casado(a),sup. univ. completa,112016,260000052,Educación Primaria,Universidad Particular César Vallejo
2015,selva,castellano,mujer,28,soltero(a),sup. univ. completa,342056,260000059,Contabilidad,Universidad Alas Peruanas
2015,selva,castellano,hombre,24,soltero(a),sup. univ. incompleta,594056,160000076,Ingeniería Ambiental,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2015,selva,castellano,mujer,33,casado(a),postgrado,112016,260000052,Educación Primaria,Universidad Particular César Vallejo
2015,selva,castellano,hombre,46, conviviente,sup. univ. completa,332186,-1,Gastronomía,
2015,selva,otra lengua nativa,hombre,20,soltero(a),sup. univ. incompleta,112066,260000071,Educación Primaria y Bilingüe Intercultural,Universidad Católica Sedes Sapientiae
