ANIO,DOMINIO_G,COD_IDIOMA,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,SEXO
2013,7,4,1,59,5,10,342056,Selva,Separado,Castellano,Superior Universitaria Completa,Contabilidad,Hombre
2013,7,4,2,49,2,10,112016,Selva,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2013,7,4,2,22,6,9,511026,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería de Sistemas,Mujer
2013,7,4,1,33,1,10,342056,Selva,Conviviente,Castellano,Superior Universitaria Completa,Contabilidad,Hombre
2013,7,4,1,40,2,10,713026,Selva,Casado,Castellano,Superior Universitaria Completa,Odontología,Hombre
2013,7,4,2,43,2,10,112016,Selva,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2013,7,4,1,50,2,10,112016,Selva,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Hombre
2013,7,4,2,20,1,9,523026,Selva,Conviviente,Castellano,Superior Universitaria Incompleta,Ingeniería Agroindustrial,Mujer
2013,7,4,1,69,2,9,112016,Selva,Casado,Castellano,Superior Universitaria Incompleta,Educación Primaria,Hombre
2013,7,4,1,21,6,9,526036,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Mecánica,Hombre
2013,7,4,2,30,1,10,341026,Selva,Conviviente,Castellano,Superior Universitaria Completa,Economía,Mujer
2013,7,4,2,40,5,10,112016,Selva,Separado,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2013,7,4,2,32,2,10,121016,Selva,Casado,Castellano,Superior Universitaria Completa,Educación Secundaria,Mujer
2013,7,4,2,30,5,11,714016,Selva,Separado,Castellano,Maestria/doctorado,Enfermería,Mujer
2013,7,4,1,21,6,9,611016,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Agronomía,Hombre
2013,7,4,1,55,2,11,121016,Selva,Casado,Castellano,Maestria/doctorado,Educación Secundaria,Hombre
2013,7,4,2,25,6,10,714016,Selva,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2013,7,4,2,20,6,9,342056,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Contabilidad,Mujer
2013,7,4,2,21,6,9,611106,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agrónoma,Mujer
2013,7,4,2,21,6,9,351016,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Derecho,Mujer
2013,7,4,1,49,2,10,112016,Selva,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Hombre
2013,7,4,2,18,6,9,711026,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Medicina Humana,Mujer
2013,7,4,1,51,1,11,121996,Selva,Conviviente,Castellano,Maestria/doctorado,Otras Carreras de Educación Secundaria,Hombre
2013,7,4,2,50,1,11,121016,Selva,Conviviente,Castellano,Maestria/doctorado,Educación Secundaria,Mujer
2013,7,4,1,23,6,10,214036,Selva,Soltero,Castellano,Superior Universitaria Completa,Traducción e Interpretación,Hombre
2013,7,4,2,51,2,10,121016,Selva,Casado,Castellano,Superior Universitaria Completa,Educación Secundaria,Mujer
2013,7,3,1,18,6,9,112056,Selva,Soltero,Otra lengua nativa,Superior Universitaria Incompleta,Educación Primaria y Bilingüe,Hombre
2013,7,4,2,39,5,9,351016,Selva,Separado,Castellano,Superior Universitaria Incompleta,Derecho,Mujer
2013,7,4,1,21,6,9,531016,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Hombre
2013,7,4,2,18,6,9,112016,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Educación Primaria,Mujer
2013,7,4,1,24,6,9,521016,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Ambiental y de Prevención de Riesgos,Hombre
2013,7,4,1,60,2,10,112016,Selva,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Hombre
2013,7,4,1,43,1,10,121016,Selva,Conviviente,Castellano,Superior Universitaria Completa,Educación Secundaria,Hombre
2013,7,4,1,47,2,10,112016,Selva,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Hombre
2013,7,4,2,23,6,9,713016,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Estomatología,Mujer
2013,7,4,1,47,2,11,121016,Selva,Casado,Castellano,Maestria/doctorado,Educación Secundaria,Hombre
2013,7,4,1,23,6,9,332176,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ecoturismo,Hombre
2013,7,4,1,21,6,9,533096,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Arquitectura y Urbanismo,Hombre
2013,7,4,1,22,6,9,611106,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agrónoma,Hombre
2013,7,4,2,19,6,9,523026,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agroindustrial,Mujer
2013,7,4,1,38,2,10,151016,Selva,Casado,Castellano,Superior Universitaria Completa,Educación Artística,Hombre
2013,7,4,2,28,2,10,214036,Selva,Casado,Castellano,Superior Universitaria Completa,Traducción e Interpretación,Mujer
2013,7,4,1,25,6,10,352016,Selva,Soltero,Castellano,Superior Universitaria Completa,Ciencia Política,Hombre
2013,7,4,1,21,6,9,711026,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Medicina Humana,Hombre
2013,7,4,2,20,1,9,332326,Selva,Conviviente,Castellano,Superior Universitaria Incompleta,Turismo y Administración,Mujer
2013,7,4,1,20,6,9,521016,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Ambiental y de Prevención de Riesgos,Hombre
2013,7,4,2,22,6,9,342056,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Contabilidad,Mujer
