COD_CENTRO_ESTUDIOS,NOM_CENTRO_ESTUDIOS
150732370,Instituto Superior Pedagógico Manuel Gonzales Prada
151180769,Instituto Superior Pedagógico Manuel Vegas Castillo
150290924,Instituto Superior Pedagógico Marcos Duran Martel
151192830,Instituto Superior Pedagógico Maria Madre
150567784,Instituto Superior Pedagógico Mercedes Cabello De Carbonera
150595090,Instituto Superior Pedagógico Monseñor Elias Olazar
151157916,Instituto Superior Pedagógico Monseñor Francisco Gonzales Burga
151124072,Instituto Superior Pedagógico Monterrico
150453787,Instituto Superior Pedagógico Nuestra Señora De Chota
150622936,Instituto Superior Pedagógico Nuestra Señora De La Asuncion
151113182,Instituto Superior Pedagógico Nuestra Señora De Las Mercedes
150419937,Instituto Superior Pedagógico Nuestra Señora De Lourdes
150688341,Instituto Superior Pedagógico Nuestra Señora Del Rosario
151028554,Instituto Superior Pedagógico Nuñoa
150611525,Instituto Superior Pedagógico Octavio Matta Contreras
151227982,Instituto Superior Pedagógico Pedro Monge Cordova
150356972,Instituto Superior Pedagógico Piura
150598367,Instituto Superior Pedagógico Pomabamba
151061498,Instituto Superior Pedagógico Pomacanchi
150714725,Instituto Superior Pedagógico Público Bambamarca
150721951,Instituto Superior Pedagógico Publico Cangallo
150676312,Instituto Superior Pedagógico Publico De Lamas
150623025,Instituto Superior Pedagógico Público Tayabamba
150926733,Instituto Superior Pedagógico Pucara
150474320,Instituto Superior Pedagógico Puno
150591859,Instituto Superior Pedagógico Puquio
150933218,Instituto Superior Pedagógico Quillabamba
150926865,Instituto Superior Pedagógico Rafael Hoyos Rubio
150453761,Instituto Superior Pedagógico Sagrado Corazon De Jesus
151065374,Instituto Superior Pedagógico San Josemaria Escriva
151059245,Instituto Superior Pedagógico San Juan Bautista
150815084,Instituto Superior Pedagógico San Marcos
150696385,Instituto Superior Pedagógico San Miguel
150759217,Instituto Superior Pedagógico Santa Cruz
150207597,Instituto Superior Pedagógico Santa Rosa
150932665,Instituto Superior Pedagógico Santo Tomas
150273979,Instituto Superior Pedagógico Tarapoto
151109396,Instituto Superior Pedagógico Tembladera
150697235,Instituto Superior Pedagógico Teodoro Peñaloza
150262311,Instituto Superior Pedagógico Toribio Rodriguez De Mendoza
150586669,Instituto Superior Pedagógico Tupac Amaru
150642348,Instituto Superior Pedagógico Victor Andres Belaunde
151396217,Instituto Superior Pedagógico Virgen De La Natividad
150931014,Instituto Superior Pedagógico Virgen Del Carmen
150666479,Instituto Superior Pedagógico Yarinacocha
141138270,Instituto de Educación Superior Tecnológica (IEST) 24 De Julio De Zarumilla
140591941,Instituto de Educación Superior Tecnológica (IEST) 4 De Junio De 1821
141102763,Instituto de Educación Superior Tecnológica (IEST) 9 De Mayo
140753962,Instituto de Educación Superior Tecnológica (IEST) Abancay
141025279,Instituto de Educación Superior Tecnológica (IEST) Acora
140567313,Instituto de Educación Superior Tecnológica (IEST) Adolfo Vienrich
140729533,Instituto de Educación Superior Tecnológica (IEST) Agustin Haya De La Torre
140681601,Instituto de Educación Superior Tecnológica (IEST) Aija
141160159,Instituto de Educación Superior Tecnológica (IEST) Alberto Pumayalla Diaz
141160175,Instituto de Educación Superior Tecnológica (IEST) Alexander Von Humboldt
140636050,Instituto de Educación Superior Tecnológica (IEST) Alfred Nobel
140815118,Instituto de Educación Superior Tecnológica (IEST) Alfredo Jose Maria Rocha Zegarra
141327253,Instituto de Educación Superior Tecnológica (IEST) Alfredo Sarmiento Palomino
141257369,Instituto de Educación Superior Tecnológica (IEST) Alianza Renovada Ichuña Belgica
140635995,Instituto de Educación Superior Tecnológica (IEST) Almirante Miguel Grau
141081116,Instituto de Educación Superior Tecnológica (IEST) Alto Huallaga
140675850,Instituto de Educación Superior Tecnológica (IEST) Alto Mayo
141065739,Instituto de Educación Superior Tecnológica (IEST) Amauta Julio C. Tello
141153519,Instituto de Educación Superior Tecnológica (IEST) Amazonas - Yurimaguas
141369842,Instituto de Educación Superior Tecnológica (IEST) Andabamba
141026319,Instituto de Educación Superior Tecnológica (IEST) Andres Avelino Caceres - San Antonio de Putina
140697268,Instituto de Educación Superior Tecnológica (IEST) Andres Avelino Caceres Dorregaray - Huancayo
140931022,Instituto de Educación Superior Tecnológica (IEST) Anta
141065135,Instituto de Educación Superior Tecnológica (IEST) Antenor Orrego Espinoza
140905372,Instituto de Educación Superior Tecnológica (IEST) Antonio Raimondi - Yungay
140586628,Instituto de Educación Superior Tecnológica (IEST) Aparicio Pomares
140337915,Instituto de Educación Superior Tecnológica (IEST) Argentina
141065499,Instituto de Educación Superior Tecnológica (IEST) Arturo Sabroso Montoya
